iter	Passed	Remaining
886	1204	153
887	1206	152
888	1207	150
889	1208	149
890	1209	148
891	1210	146
892	1212	145
893	1213	143
894	1214	142
895	1215	141
896	1216	139
897	1217	138
898	1219	136
899	1220	135
900	1221	134
901	1222	132
902	1223	131
903	1224	130
904	1225	128
905	1226	127
906	1227	125
907	1229	124
908	1230	123
909	1231	121
910	1232	120
911	1233	119
912	1234	117
913	1235	116
914	1237	114
915	1238	113
916	1239	112
917	1241	110
918	1242	109
919	1243	108
920	1245	106
921	1246	105
922	1247	104
923	1248	102
924	1249	101
925	1250	99
926	1252	98
927	1253	97
928	1254	95
929	1255	94
930	1256	93
931	1257	91
932	1258	90
933	1260	89
934	1261	87
935	1262	86
936	1263	84
937	1265	83
938	1266	82
939	1267	80
940	1268	79
941	1270	78
942	1271	76
943	1272	75
944	1274	74
945	1275	72
946	1276	71
947	1277	70
948	1279	68
949	1280	67
950	1281	66
951	1283	64
952	1284	63
953	1285	61
954	1287	60
955	1288	59
956	1289	57
957	1290	56
958	1291	55
959	1293	53
960	1294	52
961	1295	51
962	1297	49
963	1298	48
964	1299	47
965	1301	45
966	1302	44
967	1303	43
968	1304	41
969	1306	40
970	1307	39
971	1308	37
972	1309	36
973	1311	35
974	1312	33
975	1313	32
976	1315	30
977	1316	29
978	1317	28
979	1318	26
980	1320	25
981	1321	24
982	1322	22
983	1323	21
984	1325	20
985	1326	18
986	1327	17
987	1328	16
988	1330	14
989	1331	13
990	1332	12
991	1333	10
992	1334	9
993	1336	8
994	1337	6
995	1338	5
996	1340	4
997	1341	2
998	1342	1
999	1344	0
